UNLV-ISRI OCR Word Accuracy Report Version 5.1
----------------------------------------------
   76838   Words
   65847   Misrecognized
   14.30%  Accuracy

Stopwords
   Count   Missed   %Right   Length
    1259     1250     0.71        1
    1263     1222     3.25        2
     558      531     4.84        3
     351      330     5.98        4
    3431     3333     2.86    Total

Non-stopwords
   Count   Missed   %Right   Length
   12369     9748    21.19        1
   22300    19603    12.09        2
   13160    10893    17.23        3
    8479     7584    10.56        4
    6392     5472    14.39        5
    4490     3839    14.50        6
    2658     2276    14.37        7
    1590     1376    13.46        8
     893      783    12.32        9
     527      465    11.76       10
     295      253    14.24       11
     170      149    12.35       12
      58       51    12.07       13
       9        5    44.44       14
      10       10     0.00       15
       7        7     0.00       16
   73407    62514    14.84    Total

Distinct Non-stopwords
   Count   Missed   %Right   Occurs
   26569    23371    12.04        1
    4538     3594    20.80        2
    1594     1069    32.94        3
     872      527    39.56        4
     426      225    47.18        5
     342      181    47.08        6
     264      124    53.03        7
     157       68    56.69        8
     119       39    67.23        9
     109       44    59.63       10
     905      377    58.34      >10
   35895    29619    17.48    Total

Phrases
   Count   Missed   %Right   Length
   76838    65847    14.30        1
   76639    73352     4.29        2
   76440    75254     1.55        3
   76241    75781     0.60        4
   76042    75866     0.23        5
   75843    75776     0.09        6
   75644    75618     0.03        7
   75445    75432     0.02        8

Stopwords
   Count   Missed   %Right   
     204      199     2.45   a
      39       28    28.21   all
      83       73    12.05   an
      16       16     0.00   are
      13       13     0.00   as
     807      800     0.87   at
      17       17     0.00   be
       1        1     0.00   by
       1        1     0.00   do
       6        6     0.00   for
       5        5     0.00   get
       1        1     0.00   he
       4        4     0.00   her
       6        6     0.00   him
    1055     1051     0.38   i
     197      179     9.14   in
      18       18     0.00   is
      28       28     0.00   it
       4        4     0.00   long
     269      266     1.12   man
      12       12     0.00   may
      19       17    10.53   me
       4        4     0.00   no
       1        1     0.00   of
      35       32     8.57   on
       9        8    11.11   or
       5        5     0.00   so
       8        8     0.00   than
     200      187     6.50   the
      89       82     7.87   them
     250      236     5.60   then
       2        2     0.00   to
       1        1     0.00   too
      13       13     0.00   up
       3        3     0.00   us
       6        6     0.00   we

Non-stopwords
   Count   Missed   %Right   
       4        4     0.00   aak
       2        2     0.00   ab
       1        1     0.00   abjicite
       5        5     0.00   abå
       2        2     0.00   academia
       1        1     0.00   academien
       1        1     0.00   accenditur
       4        4     0.00   accã
       1        0   100.00   achille
      16       16     0.00   acht
       4        4     0.00   achtar
       4        4     0.00   achtas
       3        3     0.00   achtat
       1        1     0.00   achte
       1        1     0.00   achtmodig
       3        2    33.33   achtning
       4        3    25.00   acidul
       8        8     0.00   ack
       2        2     0.00   aconitum
       4        3    25.00   acuerande
       3        3     0.00   ad
       1        1     0.00   adam
      23       22     4.35   ade
       2        2     0.00   adel
       6        5    16.67   adelig
       4        4     0.00   adeln
       1        1     0.00   adels
       1        1     0.00   adelsman
       6        6     0.00   adelã
       1        1     0.00   adjec
       4        4     0.00   adolph
       4        4     0.00   adt
       4        4     0.00   adâ
       4        4     0.00   adå
       4        4     0.00   ae
       3        3     0.00   aeademier
     474      472     0.42   af
      83       79     4.82   aff
       4        4     0.00   affhandlat
       1        1     0.00   affmã
       1        0   100.00   afft
       2        2     0.00   afftagandhe
       4        4     0.00   afftalt
       6        6     0.00   affton
       8        8     0.00   afftonen
       1        1     0.00   affwã
       3        2    33.33   affã
       2        2     0.00   affå
       1        1     0.00   afgiort
       1        1     0.00   afgrund
       1        1     0.00   afgudadyrkare
       1        1     0.00   afgudomen
       1        1     0.00   afhugges
       1        1     0.00   aflif
       2        2     0.00   aflopp
       1        1     0.00   aflã
       2        2     0.00   afras
       2        2     0.00   aft
       4        3    25.00   aften
       1        1     0.00   aftig
       4        4     0.00   aftrã
       6        5    16.67   afwenda
       4        4     0.00   afwendt
       4        4     0.00   afwã
      45       39    13.33   afå
       8        8     0.00   ag
       4        4     0.00   aga
       3        2    33.33   agde
      10       10     0.00   agdt
       1        1     0.00   age
       4        4     0.00   agenors
       4        4     0.00   agens
       4        4     0.00   ager
       2        2     0.00   aggar
       4        4     0.00   agn
       1        1     0.00   agor
       1        1     0.00   agricolari
       4        4     0.00   agrostis
       5        5     0.00   agt
       2        2     0.00   agta
       3        3     0.00   ahen
       1        1     0.00   aia
      20       20     0.00   ak
      10        8    20.00   aka
       3        3     0.00   akar
      15       15     0.00   aken
       1        1     0.00   akens
      20       20     0.00   aker
       5        5     0.00   akerne
       1        1     0.00   akers
       1        1     0.00   akerwepling
       1        1     0.00   aknar
       4        4     0.00   akt
       2        2     0.00   akta
       1        1     0.00   aktå
       7        7     0.00   al
      11       11     0.00   ala
       4        4     0.00   alamodi
       1        1     0.00   alarm
       1        1     0.00   albano
       9        9     0.00   albo
       6        6     0.00   album
       1        1     0.00   alde
      31       29     6.45   aldeles
       1        0   100.00   aldenå
       3        3     0.00   aldrafijna
       5        5     0.00   aldralã
       3        2    33.33   aldraringaå
       3        2    33.33   aldraå
      11       11     0.00   aldrig
       5        3    40.00   aldrigh
       1        1     0.00   alexan
       1        1     0.00   alexandro
       3        3     0.00   alexipharmaca
       1        1     0.00   alffuar
       1        1     0.00   alffwarå
       2        1    50.00   alfware
       2        1    50.00   alfwares
       5        4    20.00   alfwarå
       2        2     0.00   alig
       1        1     0.00   aligh
       1        0   100.00   alighan
      65       64     1.54   alla
       4        4     0.00   allan
       2        2     0.00   allareda
       2        1    50.00   allaå
       4        3    25.00   alldenå
       4        3    25.00   alldrafã
      50       37    26.00   alle
       4        3    25.00   allehanda
       2        1    50.00   allena
      53       35    33.96   allenaå
       1        1     0.00   alleneå
       3        3     0.00   aller
       1        0   100.00   alleå
       1        1     0.00   allium
       6        4    33.33   allmogen
       7        4    42.86   allmã
       5        5     0.00   allom
       3        3     0.00   allpes
       3        3     0.00   allã
       1        1     0.00   alm
       4        4     0.00   almar
       5        4    20.00   almogen
       7        6    14.29   almã
      12       12     0.00   aln
       8        8     0.00   alnar
       5        5     0.00   alnen
       4        4     0.00   alon
       4        4     0.00   alopecurus
       2        1    50.00   alphonå
       1        1     0.00   alrahã
       4        4     0.00   alsmã
       5        5     0.00   alswã
      99       96     3.03   alt
       2        2     0.00   altare
       4        4     0.00   altet
       1        0   100.00   altfã
      19       19     0.00   altid
       1        1     0.00   altig
      20       18    10.00   altijd
       4        3    25.00   altijdh
       2        2     0.00   altljd
       3        3     0.00   altwad
      25       24     4.00   altå
       1        1     0.00   alus
       4        4     0.00   alva
       2        2     0.00   alzmã
       4        2    50.00   alã
      32       29     9.38   am
       4        4     0.00   ama
       1        1     0.00   amaryllis
       1        1     0.00   ambla
       4        4     0.00   ambling
       1        1     0.00   ambra
       1        1     0.00   ambt
      10       10     0.00   ame
       1        1     0.00   amer
       1        1     0.00   america
       1        1     0.00   ameringar
       4        4     0.00   amfã
       1        1     0.00   amhet
       1        1     0.00   ami
       1        1     0.00   amica
       3        3     0.00   amla
       4        4     0.00   amlade
       1        1     0.00   amlar
       2        2     0.00   amlas
       6        6     0.00   amlat
       2        1    50.00   amling
       3        2    33.33   amlingen
       2        2     0.00   amlingenes
       3        3     0.00   amlings
       4        4     0.00   amm
      98       91     7.14   amma
      17       15    11.76   amman
       4        3    25.00   ammanblandade
       1        0   100.00   ammandrager
       4        3    25.00   ammanknippe
       1        1     0.00   ammans
       8        7    12.50   ammanå
       1        0   100.00   ammaå
       5        5     0.00   amme
       1        1     0.00   ammor
       2        2     0.00   amn
       2        2     0.00   amo
       1        1     0.00   amour
      10       10     0.00   ampt
       4        4     0.00   amrã
      63       62     1.59   amt
       1        1     0.00   amtal
       1        1     0.00   amtida
       4        4     0.00   amtykt
       4        4     0.00   amur
       1        1     0.00   amus
       1        1     0.00   anam
       1        1     0.00   anbelangande
       6        5    16.67   anbelangar
       2        2     0.00   anckar
       2        2     0.00   anda
       3        2    33.33   andan
       1        1     0.00   andars
       4        3    25.00   andas
      10        7    30.00   ande
       1        1     0.00   andelig
       3        3     0.00   anders
       4        4     0.00   andorn
     101       67    33.66   andra
       4        4     0.00   andrat
      38       31    18.42   andre
       1        1     0.00   andring
       1        0   100.00   andro
       4        3    25.00   androm
       1        1     0.00   andry
       2        1    50.00   andten
       2        2     0.00   andtá
      20       20     0.00   anethum
       1        1     0.00   anfechta
       5        5     0.00   anfeende
       3        3     0.00   anferdig
      15       10    33.33   anfã
       4        3    25.00   angelã
       4        4     0.00   angen
       1        1     0.00   angri
       4        4     0.00   angripas
       8        8     0.00   anguå
       7        5    28.57   angã
       7        6    14.29   anhã
       1        1     0.00   anian
       4        4     0.00   anis
       1        1     0.00   anitas
       4        4     0.00   aniå
       3        2    33.33   anklagande
       4        4     0.00   ankom
       4        3    25.00   ankommen
       2        2     0.00   anlade
       4        4     0.00   anlagd
      11        8    27.27   anledning
       6        5    16.67   anlã
       4        4     0.00   anm
       1        1     0.00   anmarkning
       4        4     0.00   anmodan
      10       10     0.00   anmã
       4        4     0.00   ann
       3        3     0.00   anna
      21       18    14.29   annan
      46       42     8.70   annat
       1        1     0.00   annerligen
       3        2    33.33   anningen
      12        9    25.00   anno
       1        1     0.00   annolijk
       3        3     0.00   annolikt
       1        0   100.00   annor
       4        3    25.00   annorledes
       6        5    16.67   annorlunda
       3        3     0.00   annorå
       1        1     0.00   anropa
       4        4     0.00   anrope
       1        1     0.00   ans
       1        1     0.00   ant
       2        2     0.00   antalet
       1        1     0.00   anthemis
       2        2     0.00   anthera
       1        1     0.00   antimonii
       2        2     0.00   antin
      22       14    36.36   antingen
      57       48    15.79   anå
       5        5     0.00   aphelia
       1        1     0.00   aphrodiå
       4        4     0.00   apice
      16       16     0.00   apium
       1        0   100.00   apothekare
       1        1     0.00   apotheket
       1        1     0.00   apotheque
       2        2     0.00   apothequet
       7        7     0.00   apoå
       1        1     0.00   appetiten
       1        1     0.00   applice
       1        1     0.00   approbe
    3500     3500     0.00   aq
       2        2     0.00   aqua
       5        5     0.00   aquaticum
      38       38     0.00   ar
       2        2     0.00   arabien
       2        2     0.00   arabiå
       2        2     0.00   arbe
       4        4     0.00   arbet
       1        1     0.00   arbetade
       2        1    50.00   arbetades
       2        2     0.00   arbetar
       4        4     0.00   arbetare
       6        6     0.00   arbete
       7        7     0.00   arbeten
       1        0   100.00   arbetet
      16       16     0.00   arbets
       2        2     0.00   arbogenå
       2        2     0.00   arc
       3        3     0.00   arcad
       2        2     0.00   arcanum
       1        1     0.00   archi
       4        4     0.00   archiatorens
       2        2     0.00   archivo
       3        3     0.00   ardieerne
      16       14    12.50   arf
       4        3    25.00   arflã
       2        2     0.00   arfwingarna
       4        4     0.00   arga
       3        3     0.00   argar
       1        1     0.00   argeus
       3        2    33.33   arinnans
       4        4     0.00   aristida
       4        3    25.00   arm
       1        1     0.00   armarne
       4        4     0.00   arme
       1        1     0.00   armeen
       2        2     0.00   armen
       1        1     0.00   armodet
       4        4     0.00   arne
       2        2     0.00   arnes
       2        2     0.00   aromati
       1        1     0.00   aromatici
       1        1     0.00   arroditur
       7        7     0.00   art
       1        1     0.00   artemi
       1        1     0.00   artemiå
       1        1     0.00   arter
       4        4     0.00   artificum
       2        2     0.00   artigt
       2        2     0.00   arâ
       2        2     0.00   atilla
       1        1     0.00   atri
       1        1     0.00   ats
     111      104     6.31   att
      10       10     0.00   atte
       1        0   100.00   atteritur
       4        4     0.00   attrahera
       3        3     0.00   au
       1        1     0.00   auctoren
       1        1     0.00   audientz
       1        1     0.00   audra
      10       10     0.00   auguå
       2        2     0.00   aurora
       3        3     0.00   auta
       4        4     0.00   autingen
       2        2     0.00   avis
       3        3     0.00   awarer
       5        5     0.00   ax
       1        1     0.00   axel
       2        2     0.00   axen
      25       25     0.00   aå
      17       17     0.00   b
       4        4     0.00   ba
       2        2     0.00   baak
       2        2     0.00   baakvgn
       1        1     0.00   baar
       4        4     0.00   backa
       1        1     0.00   backewepling
       3        3     0.00   badda
       1        1     0.00   baddas
       2        2     0.00   badh
       2        2     0.00   baijo
       5        5     0.00   bakers
       3        2    33.33   baktil
       2        2     0.00   balberare
       1        1     0.00   balearides
       4        3    25.00   ballancera
       1        1     0.00   balthazar
       1        1     0.00   balu
      10       10     0.00   balå
       3        3     0.00   banas
       3        3     0.00   band
       3        3     0.00   bandh
       4        3    25.00   bandroå
       2        2     0.00   bannor
       7        7     0.00   bar
       6        6     0.00   bara
       2        2     0.00   barbariet
       3        3     0.00   barbaroã
       4        4     0.00   barbat
       4        4     0.00   baren
       1        0   100.00   barenå
       3        3     0.00   baricelli
       2        2     0.00   barken
       4        4     0.00   barm
       1        1     0.00   barmher
       4        4     0.00   barmhertighet
      14       14     0.00   barn
       2        2     0.00   barndom
       4        2    50.00   barnen
       9        5    44.44   barnet
       5        5     0.00   barnets
       4        4     0.00   barnmorå
       1        1     0.00   barnom
       3        3     0.00   bartholoma
       2        2     0.00   bata
       6        6     0.00   baå
       1        1     0.00   bebo
       3        3     0.00   bebã
       4        4     0.00   bedagad
       3        3     0.00   bedia
       4        4     0.00   bediandes
       4        3    25.00   bedragare
       5        4    20.00   bedragen
       1        0   100.00   bedrifter
      12        8    33.33   bedrã
       7        7     0.00   befahra
       3        2    33.33   befallning
       2        2     0.00   befallningh
       2        1    50.00   befalning
       9        8    11.11   befalte
       4        4     0.00   befann
       3        2    33.33   befarandhe
       2        2     0.00   befarar
       5        5     0.00   befinna
       1        0   100.00   befordra
       1        0   100.00   befordrar
       8        8     0.00   befrach
       4        4     0.00   befracht
